video_id	video_title
8tffqG3zRLQ	Best VGM 83 - Donkey Kong Country 2 - Bayou Boogie
1BcHKsDr5CM	Best VGM 84 - Grandia - Town of Parm
N1lp6YLpT_o	Best VGM 86 - Tribes 2 - Ice Level
4i-qGSwyu5M	Best VGM 87 - Breath of Fire II - Sweet Home
pwIy1Oto4Qc	Best VGM 88 - Dark Cloud - Owl Forest
ty4CBnWeEKE	Best VGM 89 - Mario Kart 64 - Rainbow Road
5bTAdrq6leQ	Best VGM 90 - Castlevania - Wicked Child (Stage 3)
ZAyRic3ZW0Y	Best VGM 91 - Comix Zone - Night of the Mutants (Episode 1)
gWZ2cqFr0Vo	Best VGM 92 - Chrono Cross - Another Marbule
2MzcVSPUJw0	Best VGM 93 - Super Metroid - Brinstar ~ Overgrown With Vegetation
MPvQoxXUQok	Best VGM 94 - Final Fantasy Tactics - Trisection
afsUV7q6Hqc	Best VGM 95 - Mega Man ZX - Last Area ~ Serpent Company
84NsPpkY4l0	Best VGM 96 - Live a Live - Wait For Truth (Near Future)
sA_8Y30Lk2Q	Best VGM 97 - Ys VI : The Ark of Napishtim - Quatera Woods
FYSt4qX85oA	Best VGM 98 - Star Ocean 3: Till the End of Time - The Desolate Smell of Earth
guff_k4b6cI	Best VGM 100 - Wild Arms - To a New Journey
hT8FhGDS5qE	Best VGM 101 - Lufia II - Battle Against Sinistrals
nRw54IXvpE8	Best VGM 102 - Gitaroo Man - The Legendary Theme
tlY88rlNnEE	Best VGM 103 - Xenogears - My Village is Number One!
QaE0HHN4c30	Best VGM 104 - Halo - Main Theme
8Fl6WlJ-Pms	Best VGM 105 - Parasite Eve - Intro (Primal Eyes)
NjG2ZjPqzzE	Best VGM 106 - Journey to Silius - Stage 1 (Space Colony Ruins)
eFR7iBDJYpI	Best VGM 107 - Ratchet & Clank - Eudora Logging Site
NjmUCbNk65o	Best VGM 108 - Donkey Kong Country 3 - Treetop Tumble
koHO9vN6t4I	Best VGM 110 - Giftpia - Opening
Ag-O4VfJx6U	Best VGM 112 - Metal Gear Solid 2 - Main Theme
4uJBIxKB01E	Best VGM 113 - Vay - Village
TJH9E2x87EY	Best VGM 114 - Super Castlevania IV - The Forest of Monsters
8MRHV_Cf41E	Best VGM 115 - Shadow Hearts III - Final Battle (Lady Tears II)
RypdLW4G1Ng	Best VGM 116 - Hot Rod - Main Theme
8RtLhXibDfA	Best VGM 117 - Yoshi's Island - Underground Theme
TioQJoZ8Cco	Best VGM 118 - Xenosaga III - Fifth Jerusalem
_1rwSdxY7_g	Best VGM 120 - Breath of Fire III - Farm
_wHwJoxw4i4	Best VGM 121 - Metroid - Kraid's Lair
o_vtaSXF0WU	Best VGM 122 - Arc the Lad IV: Twilight of the Spirits - Offense and Defense
N-BiX7QXE8k	Best VGM 123 - Shin  Megami Tensei Nocturne - Normal Battle ~ Town
b-rgxR_zIC4	Best VGM 124 - Mega Man 4 - Skull Man Stage
0ptVf0dQ18M	Best VGM 125 - F-Zero GX - Octoman's Theme
lmhxytynQOE	Best VGM 126 - Romancing Saga 3 - Boss Battle
6CMTXyExkeI	Best VGM 127 - Final Fantasy V - Battle with Gilgamesh (Clash on the Big Bridge)
uKK631j464M	Best VGM 128 - Castlevania: Symphony of the Night - Lost Painting
pWVxGmFaNFs	Best VGM 129 - Ragnarok Online 2 : The Gate of the World - Din Don Dan Dan Non Monstr
ag5q7vmDOls	Best VGM 130 - Lagoon - Philips Castle
e7YW5tmlsLo	Best VGM 131 - Cannon Fodder - Opening
pieNm70nCIQ	Best VGM 132 - Baten Kaitos - Chaotic Dance
3WVqKTCx7Ug	Best VGM 133 - Wild Arms 3 - Scenery Called Everyday
hELte7HgL2Y	Best VGM 134 - Chrono Trigger - Wind Scene
rEE6yp873B4	Best VGM 135 - Contact - Free Time
9xy9Q-BLp48	Best VGM 136 - Legaia 2 - Lost Forest
3ODKKILZiYY	Best VGM 137 - Plok - Beach
XW3Buw2tUgI	Best VGM 138 - Extreme-G - Devil Speed Unborn
xvvXFCYVmkw	Best VGM 139 - Mario Kart 64 - Toad's Turnpike
gcm3ak-SLqM	Best VGM 140 - Shadow Hearts II : Covenant - Town of Twilight
9u3xNXai8D8	Best VGM 141 - Civilization IV - Baba Yetu
mwdGO2vfAho	Best VGM 143 - Castlevania : Portrait of Ruin - The Gears Go Awry
XH1J5XxZklI	Best VGM 144 - Snowboard Kids - Big Snowman
x4i7xG2IOOE	Best VGM 145 - Silent Hill: Origins - Prologue (O.R.T.)
TYjKjjgQPk8	Best VGM 146 - Donkey Kong Country - Fear Factory
6XOEZIZMUl0	Best VGM 147 - SMT : Digital Devil Saga 2 - Divine Entity (Final Battle)
JA_VeKxyfiU	Best VGM 148 - Golden Sun - Kolima Forest
GzBsFGh6zoc	Best VGM 149 - Lufia - Fortress of Doom (Last Duel)
LPO5yrMSMEw	Best VGM 150 - Ridge Racers - Blue Topaz Remix
HO0rvkOPQww	Best VGM 151 - Guardian's Crusade - Opening
fYvGx-PEAtg	Best VGM 152 - Tales of Symphonia - Town of Wind and Ruins (Asgard)
HFKtYCcMWT4	Best VGM 153 - Mega Man 2 - Dr. Wily Stage 1 / 2
